28/09/2016 20:12:56 ;Está chegando ao aeroporto o PR-GIG, Boeing 737-700. #Avião #RobôBum;BRAUnknowAirE47EB2;High;,em Modo S,, Hex:E47EB2, . !IsKnownAirplane.;
28/09/2016 20:12:56 ;Está chegando ao aeroporto o PR-GIG, Boeing 737-700. #Avião #RobôBum;MCPUnknowAirE47EB2;High;,em Modo S,, Hex:E47EB2, . !IsKnownAirplane.;
28/09/2016 20:12:56 ;Está chegando ao aeroporto o GLO1558 (PR-GXN), Boeing 737-800 de São Paulo (Congonhas). #Avião #RobôBum;BRAUnknowAirE48F00;High;Velocidade vertical abaixo de -500:-512 e altude menor que 28000:4625, Hex:E48F00, . !IsKnownAirplane.;
28/09/2016 20:12:56 ;Está chegando ao aeroporto o TAM3365 (PR-MYH), Airbus A320 de Ilhéus - BA. #Avião #RobôBum;BRAUnknowAirE486C1;High;Velocidade vertical abaixo de -500:-832 e altude menor que 28000:2650, Hex:E486C1, . !IsKnownAirplane.;
28/09/2016 20:12:56 ;O TAM3365 (PR-MYH) está parece estar pousando modelo Airbus A320 de Ilhéus - BA. #Avião #RobôBum;BRAUnknowAirE486C1;High;Velocidade vertical abaixo de -500:-832 e altude menor que 28000:2650, Hex:E486C1, . !IsKnownAirplane.;
28/09/2016 20:18:09 ;Trazendo gente para conexão, está pousando o GLO1558 (PR-GXN), B738 de São Paulo (Congonhas). #Avião #RobôBum;BRAUnknowAirE48F00;High;Velocidade vertical abaixo de -500:-832 e altude menor que 28000:325, Hex:E48F00, . !IsKnownAirplane.;
28/09/2016 20:18:09 ;Trazendo gente para conexão, está pousando o TAM3712 (PR-MYN), A320 de São Paulo (Congonhas), vai passar pelo Plano Piloto. #Avião #RobôBum;BRAUnknowAirE48AD5;High;Velocidade vertical abaixo de -500:-832 e altude menor que 28000:3925, Hex:E48AD5, . !IsKnownAirplane.;
28/09/2016 20:18:09 ;Trazendo gente para conexão, está pousando o AZU5097 (PR-ATE), AT76. #Avião #RobôBum;BRAUnknowAirE48ABD;High;Velocidade vertical abaixo de -500:-576 e altude menor que 28000:2900, Hex:E48ABD, . !IsKnownAirplane.;
28/09/2016 20:18:09 ;Trazendo gente para conexão, está pousando o GOL5469 (PR-VBI), B737. #Avião #RobôBum;BRAUnknowAirE483A4;High;Velocidade vertical abaixo de -500:-640 e altude menor que 28000:3350, Hex:E483A4, . !IsKnownAirplane.;
28/09/2016 20:18:09 ;Hora de trabalhar! Está decolando o TAM3178 (PT-MXJ), A321 para Salvador - BA. #Avião #RobôBum;BRAUnknowAirE48DC5;High;Velocidade vertical superior a 500:1280 e altude entre 4000 e 18000:4850, Hex:E48DC5, ;
28/09/2016 20:18:09 ;O GOL5469 (PR-VBI) está na aproximação da região modelo Boeing 737-700. #Avião #RobôBum;BRAUnknowAirE483A4;High;Velocidade vertical abaixo de -500:-640 e altude menor que 28000:3350, Hex:E483A4, . !IsKnownAirplane.;
28/09/2016 20:18:09 ;O TAM3178 (PT-MXJ) está decolando de Brasil afora  modelo Airbus A321 para Salvador - BA. #Avião #RobôBum;BRAUnknowAirE48DC5;High;Velocidade vertical superior a 500:1280 e altude entre 4000 e 18000:4850, Hex:E48DC5, ;
28/09/2016 20:21:09 ;O TAM3672 (PR-MHZ) está chegando ao aeroporto, um Airbus A320 de Rio De Janeiro(GIG). #Avião #RobôBum;BRAUnknowAirE48275;High;Velocidade vertical abaixo de -500:-1024 e altude menor que 28000:4800, Hex:E48275, . !IsKnownAirplane.;
28/09/2016 20:21:09 ;O TAM3783 (PR-MBO) está chegando ao aeroporto, um Airbus A320 de João Pessoa - SE. #Avião #RobôBum;BRAUnknowAirE48080;High;Velocidade vertical abaixo de -500:-704 e altude menor que 28000:3675, Hex:E48080, . !IsKnownAirplane.;
28/09/2016 20:21:09 ;O ONE6065 (PR-AVJ) está chegando ao aeroporto, um Airbus A318 de Brasília - DF. #Avião #RobôBum;BRAUnknowAirE48990;High;Velocidade vertical abaixo de -500:-704 e altude menor que 28000:4975, Hex:E48990, . !IsKnownAirplane.;
28/09/2016 20:21:09 ;O TAM3336 (PR-MYR) está chegando ao aeroporto, um Airbus A320 de Curitiba. #Avião #RobôBum;BRAUnknowAirE48B64;High;Velocidade vertical abaixo de -500:-896 e altude menor que 28000:3550, Hex:E48B64, . !IsKnownAirplane.;
28/09/2016 20:21:09 ;Um Boeing 747-8, o DLH507 (D-ABYI) - Alemanha -  está voando pela região de São Paulo (Guarulhos) para Frankfurt. #Avião #RobôBum;BRAWide3C4B29;High;,em Modo S,, Hex:3C4B29, ;
28/09/2016 20:21:10 ;Um Boeing 747-8, o DLH507 (D-ABYI) - Alemanha -  está voando pela região de São Paulo (Guarulhos) para Frankfurt. #Avião #RobôBum;MCPWide3C4B29;High;,em Modo S,, Hex:3C4B29, ;
28/09/2016 20:21:10 ;Um Boeing 767-300, o ACA091 (C-GLCA) está saindo do aeroporto para Toronto. #Avião #RobôBum;BRAWideC061E9;High;Velocidade vertical superior a 500:2304 e altude entre 4000 e 18000:6625, Hex:C061E9, ;
28/09/2016 20:21:10 ;O ONE6065 (PR-AVJ) vai pousar logo mais, um Airbus A318 de Brasília - DF. #Avião #RobôBum;BRAUnknowAirE48990;High;Velocidade vertical abaixo de -500:-704 e altude menor que 28000:4975, Hex:E48990, . !IsKnownAirplane.;
28/09/2016 20:21:10 ;O TAM3336 (PR-MYR) vai pousar logo mais, um Airbus A320 de Curitiba. #Avião #RobôBum;BRAUnknowAirE48B64;High;Velocidade vertical abaixo de -500:-896 e altude menor que 28000:3550, Hex:E48B64, . !IsKnownAirplane.;
28/09/2016 20:21:10 ;Está decolando um Boeing 767-300, o ACA091 (C-GLCA) para Toronto. #Avião #RobôBum;BRAWideC061E9;High;Velocidade vertical superior a 500:2304 e altude entre 4000 e 18000:6625, Hex:C061E9, ;
28/09/2016 20:21:56 ;Vai chegando no aeroporto o TAM3672 (PR-MHZ), Airbus A320 de Rio De Janeiro(GIG). #Avião #RobôBum;BRAUnknowAirE48275;High;Velocidade vertical abaixo de -500:-640 e altude menor que 28000:4050, Hex:E48275, . !IsKnownAirplane.;
28/09/2016 20:21:56 ;Vai chegando no aeroporto o TAM3783 (PR-MBO), Airbus A320 de João Pessoa - SE. #Avião #RobôBum;BRAUnknowAirE48080;High;Velocidade vertical abaixo de -500:-832 e altude menor que 28000:3325, Hex:E48080, . !IsKnownAirplane.;
28/09/2016 20:21:56 ;Chegando a hora de descansar! Está pousando o CMP701 (HP-1830CMP), B738 de Panama City. #Avião #RobôBum;BRAUnknowAir0C208D;High;Velocidade vertical abaixo de -500:-768 e altude menor que 28000:4825, Hex:0C208D, . !IsKnownAirplane.;
28/09/2016 20:21:56 ;Vai chegando no aeroporto o TAM3336 (PR-MYR), Airbus A320 de Curitiba. #Avião #RobôBum;BRAUnknowAirE48B64;High;Velocidade vertical abaixo de -500:-832 e altude menor que 28000:3025, Hex:E48B64, . !IsKnownAirplane.;
28/09/2016 20:21:56 ;Está voando por Brasil afora um Boeing 747-8, o DLH507 (D-ABYI)  - Alemanha -  de São Paulo (Guarulhos) para Frankfurt. #Avião #RobôBum;BRAWide3C4B29;High;,em Modo S,, Hex:3C4B29, ;
28/09/2016 20:21:56 ;Está voando por Macapá um Boeing 747-8, o DLH507 (D-ABYI)  - Alemanha -  de São Paulo (Guarulhos) para Frankfurt. #Avião #RobôBum;MCPWide3C4B29;High;,em Modo S,, Hex:3C4B29, ;
28/09/2016 20:21:56 ;Subindo rapidamente, decolando está um Boeing 767-300, o ACA091 (C-GLCA) para Toronto. #Avião #RobôBum;BRAWideC061E9;High;Velocidade vertical superior a 500:2048 e altude entre 4000 e 18000:7900, Hex:C061E9, ;
28/09/2016 20:21:56 ;O CMP701 (HP-1830CMP) está pousando depois de várias horas, B738 de Panama City. #Avião #RobôBum;BRAUnknowAir0C208D;High;Velocidade vertical abaixo de -500:-768 e altude menor que 28000:4825, Hex:0C208D, . !IsKnownAirplane.;
28/09/2016 20:21:56 ;Bem rapidinho está pousando o TAM3336 (PR-MYR), Airbus A320 de Curitiba. #Avião #RobôBum;BRAUnknowAirE48B64;High;Velocidade vertical abaixo de -500:-832 e altude menor que 28000:3025, Hex:E48B64, . !IsKnownAirplane.;
28/09/2016 20:21:56 ;Começando a missão, está decolando um Boeing 767-300, o ACA091 (C-GLCA) para Toronto. #Avião #RobôBum;BRAWideC061E9;High;Velocidade vertical superior a 500:2048 e altude entre 4000 e 18000:7900, Hex:C061E9, ;
28/09/2016 20:24:11 ;Trazendo gente para conexão, está pousando o TAM3672 (PR-MHZ), A320 de Rio De Janeiro(GIG). #Avião #RobôBum;BRAUnknowAirE48275;High;Velocidade vertical abaixo de -500:-1088 e altude menor que 28000:3500, Hex:E48275, . !IsKnownAirplane.;
28/09/2016 20:24:11 ;Trazendo gente para conexão, está pousando o TAM3783 (PR-MBO), A320 de João Pessoa - SE. #Avião #RobôBum;BRAUnknowAirE48080;High;Velocidade vertical abaixo de -500:-960 e altude menor que 28000:1725, Hex:E48080, . !IsKnownAirplane.;
28/09/2016 20:24:11 ;Trazendo gente para conexão, está pousando o GLO6719 (PR-GGZ), B738. #Avião #RobôBum;BRAUnknowAirE484FB;High;Velocidade vertical abaixo de -500:-832 e altude menor que 28000:4975, Hex:E484FB, . !IsKnownAirplane.;
28/09/2016 20:24:11 ;Trazendo gente para conexão, está pousando o ONE6065 (PR-AVJ), A318 de Brasília - DF. #Avião #RobôBum;BRAUnknowAirE48990;High;Velocidade vertical abaixo de -500:-704 e altude menor que 28000:3325, Hex:E48990, . !IsKnownAirplane.;
28/09/2016 20:24:11 ;Depois de vááárias horas, está pousando o CMP701 (HP-1830CMP), B738 de Panama City. #Avião #RobôBum;BRAUnknowAir0C208D;High;Velocidade vertical abaixo de -500:-832 e altude menor que 28000:2875, Hex:0C208D, . !IsKnownAirplane.;
28/09/2016 20:24:11 ;Hora de trabalhar! Está decolando um Boeing 767-300, o ACA091 (C-GLCA) para Toronto. #Avião #RobôBum;BRAWideC061E9;High;Velocidade vertical superior a 500:1280 e altude entre 4000 e 18000:11675, Hex:C061E9, ;
28/09/2016 20:24:11 ;Está na aproximação da região o GLO6719 (PR-GGZ) modelo Boeing 737-800. #Avião #RobôBum;BRAUnknowAirE484FB;High;Velocidade vertical abaixo de -500:-832 e altude menor que 28000:4975, Hex:E484FB, . !IsKnownAirplane.;
28/09/2016 20:24:11 ;Está na aproximação da região o ONE6065 (PR-AVJ) modelo Airbus A318 de Brasília - DF. #Avião #RobôBum;BRAUnknowAirE48990;High;Velocidade vertical abaixo de -500:-704 e altude menor que 28000:3325, Hex:E48990, . !IsKnownAirplane.;
28/09/2016 20:24:11 ;O CMP701 (HP-1830CMP) está pousando modelo Boeing 737-800 de Panama City. #Avião #RobôBum;BRAUnknowAir0C208D;High;Velocidade vertical abaixo de -500:-832 e altude menor que 28000:2875, Hex:0C208D, . !IsKnownAirplane.;
28/09/2016 20:24:11 ;Um Boeing 767-300, o ACA091 (C-GLCA) está decolando de Brasil afora  para Toronto. #Avião #RobôBum;BRAWideC061E9;High;Velocidade vertical superior a 500:1280 e altude entre 4000 e 18000:11675, Hex:C061E9, ;
